City,Count
LOS ANGELES,286659
VAN NUYS,21295
NORTH HOLLYWOOD,17242
SHERMAN OAKS,15165
WOODLAND HILLS,13194
ENCINO,10776
NORTHRIDGE,9648
CANOGA PARK,7342
STUDIO CITY,7281
RESEDA,6962
TARZANA,6730
CHATSWORTH,5996
SAN PEDRO,5891
SUN VALLEY,5730
VENICE,5509
SYLMAR,5499
PANORAMA CITY,5479
GRANADA HILLS,5321
PACOIMA,4467
NORTH HILLS,4070
VALLEY VILLAGE,3902
WEST HILLS,3879
N HOLLYWOOD,3545
WINNETKA,3454
WILMINGTON,3393
PACIFIC PALISADES,2912
MARINA DEL REY,2900
ARLETA,2518
TUJUNGA,2454
SUNLAND,1769
MISSION HILLS,1748
PORTER RANCH,1712
HARBOR CITY,1475
PLAYA DEL REY,1367
TOLUCA LAKE,1249
SIMI VALLEY,1184
ANAHEIM,956
VALENCIA,910
CANYON COUNTRY,817
HOLLYWOOD,755
RIVERSIDE,740
LAKE BALBOA,716
IRVINE,713
NEW YORK,632
PLAYA VISTA,563
SAN DIEGO,555
LA CRESCENTA,549
SANTA ANA,548
THOUSAND OAKS,531
CORONA,518
ALTADENA,483
ORANGE,476
ONTARIO,460
HUNTINGTON BEACH,447
RANCHO CUCAMONGA,406
NEWHALL,399
FULLERTON,389
VALLEY GLEN,388
FONTANA,355
SACRAMENTO,344
OXNARD,318
BAKERSFIELD,313
CHINO,312
LAKE VIEW TERRACE,305
TOPANGA,305
VENTURA,299
SAN FRANCISCO,298
GARDEN GROVE,297
COSTA MESA,296
CAMARILLO,256
BUENA PARK,251
UPLAND,251
LAS VEGAS,248
NEWPORT BEACH,248
SAN BERNARDINO,241
NEWBURY PARK,240
HACIENDA HEIGHTS,218
BREA,218
CASTAIC,210
MOORPARK,209
SHERWOOD FOREST,201
MORENO VALLEY,197
TUSTIN,196
TEMECULA,192
CITY OF INDUSTRY,188
ROWLAND HEIGHTS,178
STEVENSON RANCH,178
MURRIETA,173
WESTCHESTER,172
MONTROSE,172
LA HABRA,171
LA CANADA,168
VIEW PARK,163
SHADOW HILLS,158
CHICAGO,147
YORBA LINDA,145
ACTON,143
CYPRESS,143
CHINO HILLS,139
PERRIS,136
HOUSTON,133
SANTA BARBARA,133
VICTORVILLE,130
FOUNTAIN VALLEY,122
LAKE FOREST,121
OCEANSIDE,121
WESTMINSTER,118
CARLSBAD,116
PLACENTIA,115
LAKE ELSINORE,114
OAK PARK,114
LOS ALAMITOS,113
PHOENIX,110
LITTLEROCK,109
CENTURY CITY,107
HESPERIA,107
RIALTO,107
SAN JOSE,107
NORCO,104
OAKLAND,104
FRESNO,102
ESCONDIDO,100
SAUGUS,98
EAGLE ROCK,97
MISSION VIEJO,95
WASHINGTON,95
SAN CLEMENTE,90
LAGUNA HILLS,90
ATLANTA,90
MONTCLAIR,88
SEATTLE,88
PORTLAND,85
DALLAS,83
NEW HYDE PARK,80
UNIVERSAL CITY,78
REDLANDS,77
AUSTIN,76
BROOKLYN,76
PALM SPRINGS,76
VISTA,75
LA CANADA FLINTRIDGE,75
PALM DESERT,74
LAGUNA NIGUEL,72
HIGHLAND PARK,72
EL CAJON,72
LAGUNA BEACH,71
COLTON,70
ALISO VIEJO,65
APPLE VALLEY,63
AGUA DULCE,62
JURUPA VALLEY,62
NASHVILLE,60
SAN MARCOS,59
STANTON,59
BELL CANYON,59
SCOTTSDALE,58
BOSTON,57
SEAL BEACH,57
HEMET,56
CHULA VISTA,56
BLOOMINGTON,56
YUCAIPA,56
DENVER,56
S EL MONTE,56
MENIFEE,56
OJAI,55
EASTVALE,53
RANCHO SANTA MARGARITA,53
ALTA LOMA,53
SAN JUAN CAPISTRANO,53
W HOLLYWOOD,52
SANTA PAULA,52
WILDOMAR,50
MIAMI,49
HENDERSON,47
HIGHLAND,45
DANA POINT,44
SAINT LOUIS,43
FALLBROOK,43
RANCHO DOMINGUEZ,43
SALT LAKE CITY,43
SANTA CLARA,42
PHILADELPHIA,42
MINNEAPOLIS,40
INDIO,39
ARLINGTON,39
ROSEVILLE,38
LA QUINTA,38
MIRA LOMA,38
RANCHO CASCADES,38
SAN ANTONIO,37
HAYWARD,37
CHARLOTTE,37
WEST LOS ANGELES,37
PORT HUENEME,37
DESERT HOT SPRINGS,36
PALOS VERDES PENINSULA,35
SAN JACINTO,35
PHELAN,34
CONCORD,34
S PASADENA,34
PLANO,34
RENO,33
LAKE VIEW TER,33
LONGWOOD,33
SANTA ROSA,33
LA PALMA,33
AGOURA,33
SAN MATEO,33
QUARTZ HILL,33
BEAUMONT,33
ORLANDO,32
POWAY,32
TUCSON,31
CANYON LAKE,31
FILLMORE,30
HACIENDA HTS,30
WALNUT CREEK,30
LA JOLLA,29
BERKELEY,29
REDDING,29
CHANDLER,29
RANCHO MIRAGE,29
FREMONT,29
IRVING,29
OAK HILLS,29
CARPINTERIA,29
CATHEDRAL CITY,28
FAIRFIELD,28
ADELANTO,28
TEMPE,28
COLUMBUS,28
MODESTO,28
ALEXANDRIA,27
BISHOP,27
SANTEE,27
FORT WORTH,26
VISALIA,26
WALNUT PARK,26
ALPHARETTA,25
CINCINNATI,25
SANTA MARIA,25
CALIFORNIA CITY,25
MESA,25
REDWOOD CITY,24
INDIANAPOLIS,24
BANNING,24
RESTON,24
FORT LAUDERDALE,24
ENCINITAS,24
FRAZIER PARK,24
YUCCA VALLEY,24
TAMPA,24
PITTSBURGH,24
STOCKTON,24
LENNOX,24
SANTA ROSA VALLEY,23
TEHACHAPI,23
CORONA DEL MAR,23
BURLINGAME,23
PALO ALTO,23
RICHMOND,23
SUNNYVALE,22
LADERA RANCH,22
EAST LOS ANGELES,22
SAN RAFAEL,22
SAN LUIS OBISPO,22
LIVERMORE,22
MILWAUKEE,22
LAKE HUGHES,21
BELLEVUE,21
BOULDER,21
LOMA LINDA,21
ROCKLIN,21
SAN RAMON,21
PLEASANTON,21
WINCHESTER,21
HERNDON,21
LAKESIDE,21
JACKSONVILLE,21
WINDSOR HILLS,20
WHITE PLAINS,20
HUNTINGTN BCH,20
AURORA,20
COLUMBIA,20
RANCHO CORDOVA,20
LOUISVILLE,20
GRAND TERRACE,19
SEPULVEDA,19
WOODLAND HLS,19
CALIMESA,19
FOLSOM,19
BOISE,19
BALTIMORE,18
PASO ROBLES,18
CLEVELAND,18
ENGLEWOOD,18
WEST TOLUCA LAKE,18
ALAMEDA,18
GOLETA,18
SOMIS,18
NEWARK,18
SOUTH SAN FRANCISCO,18
CRESTLINE,18
ROSAMOND,18
RALEIGH,18
DUBLIN,18
BETHESDA,17
VILLA PARK,17
SUN CITY,17
OVERLAND PARK,17
MADISON,17
CAMPBELL,17
PLYMOUTH,17
FRANKLIN,17
LONG ISLAND CITY,17
BOCA RATON,16
FOOTHILL RANCH,16
SAN LEANDRO,16
KANSAS CITY,16
CLOVIS,16
JOSHUA TREE,15
BIRMINGHAM,15
TULSA,15
ALBUQUERQUE,15
PROVO,15
BURLINGTON,15
COLORADO SPRINGS,15
LEONA VALLEY,15
MEMPHIS,15
CAMBRIDGE,15
ROCHESTER,15
OKLAHOMA CITY,15
NATIONAL CITY,14
CARROLLTON,14
DOVER,14
ANTIOCH,14
MARIETTA,14
BRENTWOOD,14
LENEXA,14
PETALUMA,14
PORTERVILLE,14
EL DORADO HILLS,14
GRAND RAPIDS,14
HONOLULU,14
ELK GROVE,14
LAKE ARROWHEAD,14
SAN YSIDRO,14
WAYNE,14
SANTA CRUZ,13
LEHI,13
NUEVO,13
SALEM,13
ADDISON,13
AUBURN,13
BENICIA,13
TRABUCO CANYON,13
WEST SACRAMENTO,13
BEND,13
NORCROSS,13
KENT,13
ARROYO GRANDE,13
LAFAYETTE,13
PARSIPPANY,13
VANCOUVER,13
WICHITA,13
STAMFORD,13
SALINAS,13
DANVILLE,13
ROCKVILLE,13
EMERYVILLE,13
CHATTANOOGA,12
RAMONA,12
MONTEREY,12
ARVADA,12
CHARLESTON,12
SPRINGFIELD,12
LA MESA,12
REDMOND,12
ANN ARBOR,12
GREENVILLE,12
BUFFALO,12
VIRGINIA BEACH,12
SPARKS,12
MILPITAS,12
LEXINGTON,12
ATASCADERO,12
GREENSBORO,12
OAK VIEW,12
MOUNTAIN VIEW,12
DAVIS,12
NAPA,12
TROY,12
WOODBURY,11
CHICO,11
NORTH LAS VEGAS,11
OMAHA,11
BROOMFIELD,11
FAIRFAX,11
SOLVANG,11
SANTA FE,11
PEORIA,11
SPRING VALLEY,11
PACIFIC PLSDS,11
TULARE,11
WALTHAM,11
LONDON,11
DULUTH,11
CENTENNIAL,11
NIPOMO,11
VAL VERDE,11
HELENDALE,11
SAINT PAUL,11
GREENWOOD VILLAGE,11
LAGUNA WOODS,10
CARMEL,10
MADERA,10
STERLING,10
MOJAVE,10
WOODINVILLE,10
SCHAUMBURG,10
BIG BEAR CITY,10
LODI,10
JERICHO,10
GLASSELL PARK,10
CORAL GABLES,10
EUGENE,10
BARSTOW,10
HANSEN HILLS,10
ALBANY,10
SOUTHFIELD,10
MAMMOTH LAKES,10
RICHARDSON,10
TWENTYNINE PALMS,10
DETROIT,10
CHEYENNE,10
UNION CITY,9
SARASOTA,9
NEW ORLEANS,9
MILL VALLEY,9
EAGLE,9
LINCOLN,9
VALLEY VLG,9
FAYETTEVILLE,9
DURHAM,9
COACHELLA,9
MARLBOROUGH,9
GILBERT,9
MCLEAN,9
VALLEY CENTER,9
PARK CITY,9
NOVATO,9
SANFORD,9
KAGEL CANYON,9
PINON HILLS,9
MIRAMAR,9
CITRUS HEIGHTS,9
DEL MAR,9
CLEARWATER,8
ROUND ROCK,8
MILFORD,8
BELLINGHAM,8
MIDWAY CITY,8
DECATUR,8
JERSEY CITY,8
VERDUGO CITY,8
LOMPOC,8
WOBURN,8
TRACY,8
ANNAPOLIS,8
LYNNWOOD,8
TACOMA,8
GOLDEN,8
WESTPORT,8
VACAVILLE,8
DOWNERS GROVE,8
PLEASANT HILL,8
ROSWELL,8
BASKING RIDGE,8
KENNESAW,8
LINCOLN HEIGHTS,8
ALPINE,8
VALLEJO,8
WINDSOR,8
SAN CARLOS,8
FREDERICK,7
SEBASTOPOL,7
MENLO PARK,7
RANCHO SANTA FE,7
WRIGHTWOOD,7
EDEN PRAIRIE,7
HUNTINGTON PK,7
WINTER PARK,7
GEORGETOWN,7
PRESCOTT,7
HORSHAM,7
KALAMAZOO,7
NORTH CANTON,7
EDISON,7
NORTHFIELD,7
BATON ROUGE,7
CARSON CITY,7
DES MOINES,7
MCCLELLAN,7
BIG BEAR LAKE,7
EXTON,7
NAPERVILLE,7
ASHBURN,7
MARTINEZ,7
KEENE,7
WEST CHESTER,7
WOODCLIFF LAKE,7
PEARBLOSSOM,7
PURCHASE,7
CAMDEN,7
LEWISVILLE,7
VIENNA,7
GREENWICH,7
SIOUX FALLS,7
MINDEN,7
SHERIDAN,7
CASPER,7
MENTONE,7
EARTH CITY,7
CARY,7
FAIR OAKS,7
HAUPPAUGE,7
PRINCETON,7
RENTON,7
TUALATIN,7
COPPELL,7
MENOMONEE FALLS,7
KINGMAN,7
SPOKANE,7
MC LEAN,7
MAHWAH,7
THE WOODLANDS,7
LOVELAND,7
NEWTON,7
PINE MOUNTAIN CLUB,7
EAST RANCHO DOMINGUEZ,6
MELBOURNE,6
GAINESVILLE,6
FORT COLLINS,6
EVERETT,6
BEDFORD,6
LINCOLNSHIRE,6
SHELTON,6
CALEXICO,6
HUNTSVILLE,6
HANFORD,6
FRAMINGHAM,6
HOLLISTER,6
ALLENTOWN,6
CANYON CNTRY,6
WESTON,6
WESTLAKE VLG,6
GRANITE BAY,6
SILVER SPRING,6
CEDAR RAPIDS,6
HOMELAND,6
LITTLETON,6
LAKE HAVASU CITY,6
FRISCO,6
FITCHBURG,6
SOMERSET,6
CHELMSFORD,6
HARTFORD,6
COLLEGE STATION,6
AUBURN HILLS,6
SOUTH JORDAN,6
LEMON GROVE,6
NAPLES,6
TORONTO,6
ASHLAND,6
JASPER,6
PITTSBURG,6
COVINGTON,6
MANCHESTER,6
FORT MYERS,6
SUGAR LAND,6
CHESTERFIELD,6
WALLINGFORD,6
CHANTILLY,6
MIDDLETOWN,6
CHERRY VALLEY,6
SAINT PETERSBURG,6
GRAND PRAIRIE,6
LAKE MARY,6
CARMICHAEL,6
DELANO,6
MALVERN,6
SONOMA,6
GRASS VALLEY,6
EAGAN,6
SANTA YNEZ,6
MOUNT PLEASANT,6
BUFORD,6
KIRKLAND,6
NEWTOWN SQUARE,5
BURNSVILLE,5
HIGHLANDS RANCH,5
PARKER,5
IMPERIAL BEACH,5
HANOVER,5
HAMILTON,5
SYRACUSE,5
COARSEGOLD,5
CALDWELL,5
LOGAN,5
PORT WASHINGTON,5
CARDIFF BY THE SEA,5
MORRISTOWN,5
MARINA DL REY,5
OGDEN,5
BALDWIN HILLS,5
MELVILLE,5
GERMANTOWN,5
CAPISTRANO BEACH,5
PENNSAUKEN,5
CONSHOHOCKEN,5
CANONSBURG,5
NEEDHAM,5
CORONADO,5
SECAUCUS,5
EL CERRITO,5
BONITA,5
LEESBURG,5
DEERFIELD,5
SAN PABLO,5
MERCED,5
VERNON HILLS,5
UNION,5
TALLAHASSEE,5
VERO BEACH,5
PEBBLE BEACH,5
LEWES,5
BOYNTON BEACH,5
HILLSBORO,5
EL CENTRO,5
INDEPENDENCE,5
TUKWILA,5
CARDIFF,5
CASTRO VALLEY,5
FRANKLIN PARK,5
ROHNERT PARK,5
EVANSTON,5
HOOD RIVER,5
BEAVERTON,5
FOSTER CITY,5
PIRAEUS,5
CANTON,5
MANTECA,5
SEDONA,5
LAKE SHERWOOD,5
BUFFALO GROVE,5
LITTLE ROCK,5
SAMMAMISH,5
MONTGOMERY,5
MORRISVILLE,5
MOORESTOWN,5
DEERFIELD BEACH,5
WAUKESHA,5
WATSONVILLE,5
THERMAL,5
CORAL SPRINGS,5
THOUSAND PALMS,5
ITASCA,5
NORTHBROOK,5
EL PASO,5
LLANO,5
PHILLIPS RANCH,5
AMERICAN FORK,5
FLORHAM PARK,5
LAWRENCEVILLE,5
GAITHERSBURG,5
DAYTON,5
GARDEN CITY,5
TURLOCK,5
INDIAN WELLS,5
BOZEMAN,5
CONROE,5
PALMETTO,5
LEBEC,4
LOS OSOS,4
MENASHA,4
COTTONWOOD HEIGHTS,4
NORTH PALM BEACH,4
LAKE OSWEGO,4
FALLS CHURCH,4
ROSSMOOR,4
LISLE,4
ASHEVILLE,4
MERIDIAN,4
DRAPER,4
NORTH CHESTERFIELD,4
RAWLINS,4
LIVONIA,4
NORFOLK,4
WATERTOWN,4
MONROE,4
OLYMPIA,4
AMHERST,4
HEALDSBURG,4
SPOKANE VALLEY,4
ARLINGTON HEIGHTS,4
MANHATTAN,4
WARRENDALE,4
SOLON,4
NOVI,4
SHINGLE SPRINGS,4
TITUSVILLE,4
SOLANA BEACH,4
GREENWOOD,4
CAMBRIA,4
BRISBANE,4
NORTHVALE,4
SUWANEE,4
MONTECITO,4
SANTA FE SPGS,4
CHARLOTTESVILLE,4
JOHNS CREEK,4
NEW BRAUNFELS,4
ITHACA,4
OROVILLE,4
ATHENS,4
RIPON,4
MARYLAND HEIGHTS,4
WESTFIELD,4
FAIRPORT,4
SPARTANBURG,4
YORK,4
OAKDALE,4
LARKSPUR,4
SPARTA,4
MOUNT LAUREL,4
LOWELL,4
LOS GATOS,4
LOOMIS,4
BLOOMFIELD,4
LONGMONT,4
STATESVILLE,4
MILTON,4
BUELLTON,4
LIBERTYVILLE,4
KAYSVILLE,4
MIDLAND,4
NEWPORT COAST,4
MARLTON,4
TUCKER,4
BILLINGS,4
MARYSVILLE,4
MORRO BAY,4
CHERRY HILL,4
UTICA,4
LONE PINE,4
AGUANGA,4
FENTON,4
WARREN,4
MOBILE,4
LINDON,4
FISHERS,4
FERNDALE,4
CRANBERRY TOWNSHIP,4
KATY,4
GOLD RIVER,4
EAST SYRACUSE,4
ELGIN,4
BRONX,4
CAMERON PARK,4
FREDERICKSBURG,4
ROCKFORD,4
BEL AIR,4
RIDGECREST,4
FARGO,4
DALY CITY,4
NASHUA,4
KING OF PRUSSIA,4
SANDY,4
LUFKIN,4
PEMBROKE PINES,4
MCDONOUGH,4
WOODLAND,4
EXETER,4
AVENTURA,4
FREEHOLD,4
TWIN PEAKS,4
KENOSHA,4
HAWAIIAN GDNS,4
SOMERVILLE,4
ROLLING MEADOWS,4
KNOXVILLE,4
ST PETERSBURG,4
PORTSMOUTH,4
WEST PALM BEACH,4
OREM,4
SARATOGA,4
CERES,4
CLAYTON,4
JUPITER,4
WILLIAMSBURG,4
INCLINE VILLAGE,4
GARDNERVILLE,4
SHORELINE,4
SILVERADO,4
ORINDA,4
PEACHTREE CITY,4
COEUR D ALENE,4
BEACHWOOD,4
BRISTOL,4
ELK GROVE VILLAGE,4
JACKSON,4
OLDSMAR,4
GROVER BEACH,4
SMYRNA,4
FORT WAYNE,3
FARMINGTON,3
JOHNSON VALLEY,3
JAMAICA,3
CHAMPAIGN,3
SHREVEPORT,3
DICKINSON,3
RAPID CITY,3
PARK RIDGE,3
ALAMO,3
EAU CLAIRE,3
BREWSTER,3
MONARCH BEACH,3
WILLIAMSVILLE,3
EDGEWATER,3
OCALA,3
NEENAH,3
OAK RIDGE,3
BARRINGTON,3
GREEN VALLEY,3
EATONTOWN,3
DAYTONA BEACH,3
HUTCHINSON,3
PLYMOUTH MEETING,3
SEDALIA,3
CHESAPEAKE,3
LAKEVIEW TERRACE,3
BOTHELL,3
MORAGA,3
NORMAN,3
FARMINGTON HILLS,3
UKIAH,3
MERCER ISLAND,3
OAK BROOK,3
FORT WASHINGTON,3
HOPKINS,3
LIVINGSTON,3
WHIPPANY,3
CEDAR CITY,3
POMPANO BEACH,3
WESTWOOD,3
SEABROOK,3
EDMONDS,3
CELEBRATION,3
SPRING,3
NEWPORT,3
MORGAN HILL,3
READING,3
PARAMUS,3
LELAND,3
FREEPORT,3
COTO DE CAZA,3
RIO RANCHO,3
LUBBOCK,3
APTOS,3
ELMIRA,3
LAKEVILLE,3
SYLVAN LAKE,3
TYLER,3
SANDY SPRINGS,3
MORGANTOWN,3
ROSEMONT,3
KALISPELL,3
DANBURY,3
SUNSET BEACH,3
METAIRIE,3
SAINT JOSEPH,3
LITTLE FALLS,3
MISSOULA,3
MIDDLETON,3
VINELAND,3
WEST BLOOMFIELD,3
LANHAM,3
BRIDGEWATER,3
PIRU,3
BROOKFIELD,3
ORANGEVALE,3
RIDGEFIELD,3
CLIFTON,3
POTOMAC,3
NORTH SIOUX CITY,3
BRANCHBURG,3
SCHERTZ,3
PONTIAC,3
LOMBARD,3
POULSBO,3
GLENWOOD,3
DES PLAINES,3
DORAL,3
WEST JORDAN,3
THORNTON,3
SAN BRUNO,3
NEWBERG,3
O FALLON,3
EVANSVILLE,3
ROCHESTER HILLS,3
STUART,3
KENSINGTON,3
HARRISBURG,3
ORO GRANDE,3
PACIFICA,3
CLOVERDALE,3
MAYFIELD HEIGHTS,3
MILLBRAE,3
MASON,3
LA CANADA FLT,3
NORWELL,3
CENTREVILLE,3
RUNNING SPRINGS,3
PACIFIC GROVE,3
MIAMISBURG,3
CALABASAS HILLS,3
HAZELWOOD,3
BRAWLEY,3
FORT LEE,3
SADDLE BROOK,3
HACKENSACK,3
GILROY,3
STOUGHTON,3
ANGOLA,3
BLUE BELL,3
RANCHO MISSION VIEJO,3
LINTHICUM,3
VASHON,3
BOULDER CITY,3
TEMPLE,3
PAWTUCKET,3
ENFIELD,3
WELLINGTON,3
SOUTHAMPTON,3
OLATHE,3
MEDFORD,3
FARMERS BRANCH,3
NEVADA CITY,3
WOODSTOCK,3
PEABODY,3
BEVERLY,3
PANORAMA,3
BETHEL,3
SAINT CLOUD,3
CAMAS,3
PLACERVILLE,3
MANSFIELD,3
WILTON,3
PISCATAWAY,3
VICTORIA,3
STATEN ISLAND,3
